-48.442, -47.825, 99.705
-49.892, -49.203, 99.686
-51.344, -50.578, 99.665
-52.799, -51.951, 99.64
-54.258, -53.319, 99.64
-55.719, -54.684, 99.613
-57.183, -56.047, 99.581
-58.651, -57.406, 99.568
-57.718, -57.823, 100
-55.718, -57.822, 100
-53.718, -57.822, 100
-51.718, -57.822, 100
-49.718, -57.822, 100
-47.718, -57.822, 98.066
-45.718, -57.821, 95.441
-43.718, -57.821, 92.742
-41.718, -57.821, 89.961
-39.718, -57.821, 87.092
-37.718, -57.82, 84.125
-35.718, -57.82, 81.049
-33.718, -57.82, 77.853
-31.718, -57.82, 74.519
-29.718, -57.82, 71.028
-27.718, -57.819, 67.357
-25.718, -57.819, 63.475
-23.718, -57.819, 59.338
-21.718, -57.819, 54.891
-19.718, -57.819, 50.05
-17.718, -57.818, 44.688
-15.718, -57.818, 38.588
-13.718, -57.818, 31.321
-11.718, -57.818, 21.749
-9.855, -57.818, 0
-9.855, -57.818, 0
10.145, -57.816, 0
endData
127
100
200
-49.842, -18.703, -49.842, -32.998, -49.588, -32.848, -49.588, -47.144
-49.588, -47.144, -49.588, -61.439, -55.302, -47.271, -62.031, -47.144
-62.031, -47.144, -68.76, -47.017, -47.176, -46.89, -29.527, -47.398
-29.527, -47.398, -11.879, -47.905, -38.782, -45.995, -47.027, -47.912
-47.027, -47.912, -55.271, -49.829, -42.247, -42.299, -31.472, -31.154
-31.472, -31.154, -20.698, -20.009, -27.658, -27.459, -23.844, -23.764
-23.844, -23.764, -20.03, -20.069, -19.561, -19.611, -13.347, -13.205
-13.347, -13.205, -7.132, -6.799, -34.484, -35.137, -59.103, -57.823
-59.103, -57.823, -34.479, -57.82, -34.479, -57.82, -9.855, -57.818
